ID,quality
525,8
526,8
527,3
528,3
529,3
530,7
531,3
532,4
533,8
534,3
535,8
536,7
537,8
538,3
539,3
540,3
541,8
542,4
543,3
544,3
545,8
546,7
547,3
548,7
549,3
550,7
551,8
552,7
553,8
554,7
555,3
556,8
557,3
558,8
559,4
560,3
561,3
562,3
563,8
564,7
565,8
566,3
567,7
568,3
569,8
570,3
571,7
572,3
573,7
574,3
575,3
576,4
577,8
578,8
579,3
580,4
581,8
582,3
583,4
584,3
585,8
586,3
587,7
588,3
589,8
590,8
591,3
592,8
593,3
594,3
595,3
596,7
597,3
598,3
599,3
600,8
601,3
602,3
603,3
604,8
605,3
606,3
607,3
608,3
609,8
610,7
611,8
612,3
613,3
614,8
615,8
616,3
617,4
618,3
619,3
620,7
621,8
622,3
623,8
624,7
625,7
626,3
627,8
628,8
629,7
630,7
631,7
632,8
633,8
634,3
635,7
636,7
637,3
638,8
639,8
640,3
641,3
642,8
643,3
644,8
645,3
646,3
647,3
648,4
649,3
650,3
651,3
652,7
653,3
654,3
655,3
656,8
657,3
658,8
659,3
660,8
661,3
662,7
663,3
664,3
665,8
666,3
667,3
668,7
669,8
670,3
671,4
672,8
673,8
674,3
675,3
676,3
677,4
678,3
679,8
680,3
681,3
682,3
683,3
684,3
685,7
686,3
687,8
688,8
689,8
690,7
691,3
692,3
693,8
694,7
695,8
696,3
697,7
698,3
699,3
700,8
701,7
702,3
703,8
704,3
705,8
706,7
707,8
708,7
709,8
710,3
711,7
712,8
713,8
714,8
715,7
716,3
717,3
718,3
719,8
720,8
721,8
722,7
723,8
724,3
725,8
726,3
727,3
728,7
729,3
730,7
731,3
732,7
733,7
734,3
735,8
736,6
737,6
738,8
